postcode,start_time,status,data_source,extracted_at
"DY10 3PL, DY10 3II",2025-11-14T09:41:00,In Progress,national_grid,2025-11-18T17:54:10.948192
"GL15 5TA, GL15 5SR",2025-11-14T16:28:00,Awaiting,national_grid,2025-11-18T17:54:10.948193
"TF10 9DS, TF10 9DT, TF10 9DQ, TF10 8PR",2025-11-14T16:37:00,Awaiting,national_grid,2025-11-18T17:54:10.948194
ST20 0QB,2025-11-14T14:45:00,Awaiting,national_grid,2025-11-18T17:54:10.948195
"DY7 5BD, DY7 5BB",2025-11-14T12:36:00,Awaiting,national_grid,2025-11-18T17:54:10.948196
"TF9 2AG, TF9 2AJ",2025-11-14T16:24:00,Awaiting,national_grid,2025-11-18T17:54:10.948197
"ST3 6PT, ST3 6RF, ST3 6RB, ST3 6PP, ST3 6PX, ST3 6PU, ST3 6QS, ST3 6PR, ST3 6QU, ST3 6RA, ST3 6PS, ST3 6QP, ST3 6SL, ST3 6QJ, ST3 6QW, ST3 6QR, ST3 6QT, ST3 6QX",2025-11-14T18:22:00,Awaiting,national_grid,2025-11-18T17:54:10.948198
"TF9 2AQ, TF9 2AH, TF9 2AJ, TF9 1HH",2025-11-14T21:27:00,Awaiting,national_grid,2025-11-18T17:54:10.948199
"ST9 0BU, ST9 0BX",2025-11-14T07:24:00,In Progress,national_grid,2025-11-18T17:54:10.948200
WR13 6NG,2025-11-14T15:03:00,In Progress,national_grid,2025-11-18T17:54:10.948201
WV4 6EH,2025-11-13T13:39:00,In Progress,national_grid,2025-11-18T17:54:10.948201
ST5 6QS,2025-11-14T16:08:00,In Progress,national_grid,2025-11-18T17:54:10.948202
ST10 2PX,2025-11-14T17:45:00,In Progress,national_grid,2025-11-18T17:54:10.948203
"B93 0LF, B93 0LE, B93 0JU, B93 0JX",2025-11-14T21:46:00,In Progress,national_grid,2025-11-18T17:54:10.948204
"B97 6RB, B97 6QQ",2025-11-14T13:17:00,In Progress,national_grid,2025-11-18T17:54:10.948205
"SY3 0AG, SY3 0AL, SY3 0AQ, SY3 0AJ",2025-11-14T18:49:00,In Progress,national_grid,2025-11-18T17:54:10.948206
"ST8 7NQ, ST8 7NN, ST8 7NW",2025-11-14T14:05:00,Awaiting,national_grid,2025-11-18T17:54:10.948207
"ST9 9AP, ST9 9QW, ST9 9AR",2025-11-14T19:36:00,Awaiting,national_grid,2025-11-18T17:54:10.948208
WV6 7ED,2025-11-14T16:16:00,In Progress,national_grid,2025-11-18T17:54:10.948209
"TF10 9DS, TF10 8PR",2025-11-14T16:29:00,In Progress,national_grid,2025-11-18T17:54:10.948210
"B61 9JP, B61 9JR, B61 9JX",2025-11-14T15:02:00,In Progress,national_grid,2025-11-18T17:54:10.948211
"B33 0NR, B33 0XS, B33 0NP",2025-11-14T20:21:00,In Progress,national_grid,2025-11-18T17:54:10.948212
"GL5 4QF, GL5 4QG, GL5 4QQ, GL5 4QE, GL5 4QD, GL5 4QH, GL5 4PN",2025-11-14T17:06:00,In Progress,national_grid,2025-11-18T17:54:10.948213
"ST18 0BW, ST18 0JJ, ST18 0BY, ST18 0HF, ST18 0BP, ST18 0BS, ST18 0HU, ST18 0HX, ST18 0BU, ST18 0JS, ST18 0BX, ST18 0HT, ST18 0BE, ST18 0BT, ST18 0DF, ST18 0HR, ST18 0DA, ST18 0DN, ST18 0JW, ST18 0DE, ST18 0BA, ST18 0HS",2025-11-14T09:04:00,In Progress,national_grid,2025-11-18T17:54:10.948214
DY1 2JB,2025-11-14T19:38:00,In Progress,national_grid,2025-11-18T17:54:10.948215
"WR8 9DQ, WR8 9DX, WR8 9DY, WR8 9ER",2025-11-14T16:40:00,Awaiting,national_grid,2025-11-18T17:54:10.948216
ST10 4DH,2025-11-14T16:44:00,Awaiting,national_grid,2025-11-18T17:54:10.948217
"B72 1NL, B72 1NP",2025-11-14T22:51:00,Awaiting,national_grid,2025-11-18T17:54:10.948218
WR13 6JD,2025-11-14T14:58:00,In Progress,national_grid,2025-11-18T17:54:10.948219
"DY7 6AR, DY7 6AU, DY7 6AP, DY7 5NP, DY7 5NR",2025-11-14T14:21:00,In Progress,national_grid,2025-11-18T17:54:10.948220
"WV4 5AN, WV4 5DB",2025-11-14T20:17:00,In Progress,national_grid,2025-11-18T17:54:10.948221
B66 2AU,2025-11-14T18:45:00,In Progress,national_grid,2025-11-18T17:54:10.948222
"ST5 5EU, ST5 5LD, ST5 5EX, ST5 5EY, ST5 5ET",2025-11-14T19:29:00,In Progress,national_grid,2025-11-18T17:54:10.948223
BS30 6HY,2025-11-13T06:47:00,Emergency,national_grid,2025-11-18T17:54:10.948224
WR7 4PJ,2025-11-14T13:54:00,Awaiting,national_grid,2025-11-18T17:54:10.948225
"B91 2SS, B91 3HN, B91 3HS, B91 3HD, GL1 2GB, B91 3HJ",2025-11-14T17:22:00,Awaiting,national_grid,2025-11-18T17:54:10.948226
"TF11 8PQ, TF11 8NS, TF11 8PH",2025-11-14T15:53:00,In Progress,national_grid,2025-11-18T17:54:10.948227
WV6 8XL,2025-11-14T14:55:00,In Progress,national_grid,2025-11-18T17:54:10.948227
"HR9 5QP, HR9 5SB, HR9 5QS, HR9 7TD, HR9 7TE, HR9 5QR, HR9 5JA, HR9 5SA, HR9 6AB",2025-11-14T15:18:00,In Progress,national_grid,2025-11-18T17:54:10.948228
"B61 9DZ, B61 9EA, B61 9EE",2025-11-14T13:38:00,In Progress,national_grid,2025-11-18T17:54:10.948230
ST20 0BE,2025-11-14T20:53:00,In Progress,national_grid,2025-11-18T17:54:10.948230
"TF3 1QR, TF3 1QT, TF3 1EB, TF3 1AB, TF3 1QX, TF3 1EA, TF3 1EH",2025-11-14T20:53:00,In Progress,national_grid,2025-11-18T17:54:10.948231
LD7 1PG,2025-11-14T12:30:00,In Progress,national_grid,2025-11-18T17:54:10.948232
"WV15 5HH, WV15 5HJ",2025-11-14T19:38:00,In Progress,national_grid,2025-11-18T17:54:10.948233
B44 8PP,2025-11-14T09:46:00,In Progress,national_grid,2025-11-18T17:54:10.948234
